pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,base_reg,avg_delay_ps,max_delay_ps
INT_L_X14Y112/EE2BEG1->INT_L_X16Y112/IMUX_L3,INT_L_X14Y112,INT_L,14,112,INT_L_X14Y112/EE2BEG1,INT_L_X16Y112/IMUX_L3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X0Y119/LH7->INT_L_X2Y119/SE6A1,INT_L_X0Y119,INT_L,0,119,INT_L_X0Y119/LH7,INT_L_X2Y119/SE6A1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y119/SE6A1->INT_L_X4Y115/EL1END0,INT_L_X2Y119,INT_L,2,119,INT_L_X2Y119/SE6A1,INT_L_X4Y115/EL1END0,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y115/IMUX_L32->CLBLL_L_X4Y115/CLBLL_LL_C1,INT_L_X4Y115,INT_L,4,115,INT_L_X4Y115/IMUX_L32,CLBLL_L_X4Y115/CLBLL_LL_C1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X0Y118/EL1BEG2->INT_R_X1Y118/SL1BEG2,INT_L_X0Y118,INT_L,0,118,INT_L_X0Y118/EL1BEG2,INT_R_X1Y118/SL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y56/CLBLL_LL_B3->SITEWIRE/SLICE_X0Y56/B2,CLBLL_L_X2Y56,CLBLL_L,2,56,CLBLL_L_X2Y56/CLBLL_LL_B3,SITEWIRE/SLICE_X0Y56/B2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X2Y118/IMUX_L16->CLBLL_L_X2Y118/CLBLL_L_B3,INT_L_X2Y118,INT_L,2,118,INT_L_X2Y118/IMUX_L16,CLBLL_L_X2Y118/CLBLL_L_B3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y118/CLBLL_L_B3->SITEWIRE/SLICE_X1Y118/B1,CLBLL_L_X2Y118,CLBLL_L,2,118,CLBLL_L_X2Y118/CLBLL_L_B3,SITEWIRE/SLICE_X1Y118/B1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X8Y132/WL1BEG1->INT_R_X7Y132/IMUX19,INT_L_X8Y132,INT_L,8,132,INT_L_X8Y132/WL1BEG1,INT_R_X7Y132/IMUX19,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y136/NW6BEG3->INT_L_X4Y140/WW4END3,INT_L_X10Y136,INT_L,10,136,INT_L_X10Y136/NW6BEG3,INT_L_X4Y140/WW4END3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X7Y76/LVB10->INT_L_X8Y66/SE6A2,INT_R_X7Y76,INT_R,7,76,INT_R_X7Y76/LVB10,INT_L_X8Y66/SE6A2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y55/NW2END2->INT_L_X2Y55/NL1BEG1,INT_L_X2Y55,INT_L,2,55,INT_L_X2Y55/NW2END2,INT_L_X2Y55/NL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
DSP_R_X9Y70/DSP_0_A6->SITEWIRE/DSP48_X0Y28/A6,DSP_R_X9Y70,DSP_R,9,70,DSP_R_X9Y70/DSP_0_A6,SITEWIRE/DSP48_X0Y28/A6,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_R_X3Y144/FAN_ALT5->INT_R_X3Y144/FAN_BOUNCE5,INT_R_X3Y144,INT_R,3,144,INT_R_X3Y144/FAN_ALT5,INT_R_X3Y144/FAN_BOUNCE5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y118/EL1END1->INT_L_X2Y118/IMUX_L10,INT_L_X2Y118,INT_L,2,118,INT_L_X2Y118/EL1END1,INT_L_X2Y118/IMUX_L10,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X3Y144/BYP_ALT1->INT_R_X3Y144/BYP_BOUNCE1,INT_R_X3Y144,INT_R,3,144,INT_R_X3Y144/BYP_ALT1,INT_R_X3Y144/BYP_BOUNCE1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X35Y82/SL1BEG2->INT_L_X34Y81/WL1END1,INT_R_X35Y82,INT_R,35,82,INT_R_X35Y82/SL1BEG2,INT_L_X34Y81/WL1END1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y118/IMUX_L10->CLBLL_L_X2Y118/CLBLL_L_A4,INT_L_X2Y118,INT_L,2,118,INT_L_X2Y118/IMUX_L10,CLBLL_L_X2Y118/CLBLL_L_A4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X3Y144/BYP_BOUNCE1->INT_R_X3Y144/GFAN1,INT_R_X3Y144,INT_R,3,144,INT_R_X3Y144/BYP_BOUNCE1,INT_R_X3Y144/GFAN1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y134/NN2A3->INT_L_X4Y135/IMUX_L29,INT_L_X4Y134,INT_L,4,134,INT_L_X4Y134/NN2A3,INT_L_X4Y135/IMUX_L29,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X0Y123/NE6BEG3->INT_L_X2Y128/NN6A3,INT_L_X0Y123,INT_L,0,123,INT_L_X0Y123/NE6BEG3,INT_L_X2Y128/NN6A3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y134/BYP_L5->CLBLL_L_X2Y134/CLBLL_L_BX,INT_L_X2Y134,INT_L,2,134,INT_L_X2Y134/BYP_L5,CLBLL_L_X2Y134/CLBLL_L_BX,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y26/SL1BEG2->INT_R_X5Y25/BYP_ALT3,INT_R_X5Y26,INT_R,5,26,INT_R_X5Y26/SL1BEG2,INT_R_X5Y25/BYP_ALT3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X7Y28/LVB10->INT_L_X4Y18/WW4C2,INT_R_X7Y28,INT_R,7,28,INT_R_X7Y28/LVB10,INT_L_X4Y18/WW4C2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y130/NE2A2->INT_L_X4Y130/EL1END1,INT_L_X2Y130,INT_L,2,130,INT_L_X2Y130/NE2A2,INT_L_X4Y130/EL1END1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y128/IMUX_L3->CLBLL_L_X2Y128/CLBLL_L_A2,INT_L_X2Y128,INT_L,2,128,INT_L_X2Y128/IMUX_L3,CLBLL_L_X2Y128/CLBLL_L_A2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X8Y106/EE2A2->INT_R_X9Y106/IMUX21,INT_L_X8Y106,INT_L,8,106,INT_L_X8Y106/EE2A2,INT_R_X9Y106/IMUX21,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y129/NN6A3->INT_L_X10Y135/NN2A3,INT_L_X10Y129,INT_L,10,129,INT_L_X10Y129/NN6A3,INT_L_X10Y135/NN2A3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y139/IMUX_L8->CLBLM_L_X10Y139/CLBLM_M_A5,INT_L_X10Y139,INT_L,10,139,INT_L_X10Y139/IMUX_L8,CLBLM_L_X10Y139/CLBLM_M_A5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y128/NW6BEG3->INT_L_X8Y132/WL1BEG1,INT_L_X10Y128,INT_L,10,128,INT_L_X10Y128/NW6BEG3,INT_L_X8Y132/WL1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X0Y123/WW4C3->INT_L_X0Y123/NE6BEG3,INT_L_X0Y123,INT_L,0,123,INT_L_X0Y123/WW4C3,INT_L_X0Y123/NE6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y120/LV_L10->INT_L_X10Y129/NN6A3,INT_L_X10Y120,INT_L,10,120,INT_L_X10Y120/LV_L10,INT_L_X10Y129/NN6A3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y138/BYP_ALT6->INT_L_X10Y138/BYP_BOUNCE6,INT_L_X10Y138,INT_L,10,138,INT_L_X10Y138/BYP_ALT6,INT_L_X10Y138/BYP_BOUNCE6,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y128/NN6A3->INT_L_X2Y133/NL1BEG2,INT_L_X2Y128,INT_L,2,128,INT_L_X2Y128/NN6A3,INT_L_X2Y133/NL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X34Y81/WL1END1->INT_L_X34Y81/BYP_ALT5,INT_L_X34Y81,INT_L,34,81,INT_L_X34Y81/WL1END1,INT_L_X34Y81/BYP_ALT5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X6Y113/EE2BEG0->INT_L_X8Y113/IMUX_L32,INT_L_X6Y113,INT_L,6,113,INT_L_X6Y113/EE2BEG0,INT_L_X8Y113/IMUX_L32,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y25/SS2A2->INT_L_X4Y24/WW2A2,INT_R_X5Y25,INT_R,5,25,INT_R_X5Y25/SS2A2,INT_L_X4Y24/WW2A2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y24/CLBLL_L_A2->SITEWIRE/SLICE_X1Y24/A1,CLBLL_L_X2Y24,CLBLL_L,2,24,CLBLL_L_X2Y24/CLBLL_L_A2,SITEWIRE/SLICE_X1Y24/A1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X10Y138/BYP_BOUNCE6->INT_L_X10Y139/IMUX_L8,INT_L_X10Y138,INT_L,10,138,INT_L_X10Y138/BYP_BOUNCE6,INT_L_X10Y139/IMUX_L8,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y6/CLBLL_L_AX->SITEWIRE/SLICE_X1Y6/AX,CLBLL_L_X2Y6,CLBLL_L,2,6,CLBLL_L_X2Y6/CLBLL_L_AX,SITEWIRE/SLICE_X1Y6/AX,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X2Y24/WL1END1->INT_L_X2Y24/IMUX_L3,INT_L_X2Y24,INT_L,2,24,INT_L_X2Y24/WL1END1,INT_L_X2Y24/IMUX_L3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y125/NN2END3->INT_L_X2Y125/EE2BEG3,INT_L_X2Y125,INT_L,2,125,INT_L_X2Y125/NN2END3,INT_L_X2Y125/EE2BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y104/CLBLL_LL_C5->SITEWIRE/SLICE_X0Y104/C1,CLBLL_L_X2Y104,CLBLL_L,2,104,CLBLL_L_X2Y104/CLBLL_LL_C5,SITEWIRE/SLICE_X0Y104/C1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
CLBLM_L_X10Y139/CLBLM_M_A5->SITEWIRE/SLICE_X12Y139/A1,CLBLM_L_X10Y139,CLBLM_L,10,139,CLBLM_L_X10Y139/CLBLM_M_A5,SITEWIRE/SLICE_X12Y139/A1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X2Y125/EE2BEG3->INT_L_X4Y125/SE2BEG3,INT_L_X2Y125,INT_L,2,125,INT_L_X2Y125/EE2BEG3,INT_L_X4Y125/SE2BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X7Y64/LVB10->INT_R_X7Y52/LVB10,INT_R_X7Y64,INT_R,7,64,INT_R_X7Y64/LVB10,INT_R_X7Y52/LVB10,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y123/CLBLL_L_A5->SITEWIRE/SLICE_X1Y123/A2,CLBLL_L_X2Y123,CLBLL_L,2,123,CLBLL_L_X2Y123/CLBLL_L_A5,SITEWIRE/SLICE_X1Y123/A2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_R_X5Y124/IMUX14->CLBLM_R_X5Y124/CLBLM_L_B1,INT_R_X5Y124,INT_R,5,124,INT_R_X5Y124/IMUX14,CLBLM_R_X5Y124/CLBLM_L_B1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLM_R_X7Y121/CLBLM_L_B1->SITEWIRE/SLICE_X9Y121/B2,CLBLM_R_X7Y121,CLBLM_R,7,121,CLBLM_R_X7Y121/CLBLM_L_B1,SITEWIRE/SLICE_X9Y121/B2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
CLBLL_L_X4Y115/CLBLL_LL_C1->SITEWIRE/SLICE_X4Y115/C1,CLBLL_L_X4Y115,CLBLL_L,4,115,CLBLL_L_X4Y115/CLBLL_LL_C1,SITEWIRE/SLICE_X4Y115/C1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
CLBLM_R_X7Y132/CLBLM_L_B2->SITEWIRE/SLICE_X9Y132/B4,CLBLM_R_X7Y132,CLBLM_R,7,132,CLBLM_R_X7Y132/CLBLM_L_B2,SITEWIRE/SLICE_X9Y132/B4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X4Y123/WW2A2->INT_L_X0Y123/WW4C3,INT_L_X4Y123,INT_L,4,123,INT_L_X4Y123/WW2A2,INT_L_X0Y123/WW4C3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X4Y121/CLBLL_LL_C2->SITEWIRE/SLICE_X4Y121/C1,CLBLL_L_X4Y121,CLBLL_L,4,121,CLBLL_L_X4Y121/CLBLL_LL_C2,SITEWIRE/SLICE_X4Y121/C1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X0Y123/EE2BEG3->INT_L_X2Y123/IMUX_L14,INT_L_X0Y123,INT_L,0,123,INT_L_X0Y123/EE2BEG3,INT_L_X2Y123/IMUX_L14,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y123/CLBLL_L_B1->SITEWIRE/SLICE_X1Y123/B4,CLBLL_L_X2Y123,CLBLL_L,2,123,CLBLL_L_X2Y123/CLBLL_L_B1,SITEWIRE/SLICE_X1Y123/B4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X2Y80/NW2END2->INT_L_X2Y80/IMUX_L27,INT_L_X2Y80,INT_L,2,80,INT_L_X2Y80/NW2END2,INT_L_X2Y80/IMUX_L27,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y26/SL1BEG2->INT_R_X5Y25/FAN_ALT5,INT_R_X5Y26,INT_R,5,26,INT_R_X5Y26/SL1BEG2,INT_R_X5Y25/FAN_ALT5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y25/FAN_ALT5->INT_R_X5Y25/FAN_BOUNCE5,INT_R_X5Y25,INT_R,5,25,INT_R_X5Y25/FAN_ALT5,INT_R_X5Y25/FAN_BOUNCE5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X7Y40/LVB10->INT_R_X7Y28/LVB10,INT_R_X7Y40,INT_R,7,40,INT_R_X7Y40/LVB10,INT_R_X7Y28/LVB10,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X3Y144/BYP3->CLBLM_R_X3Y144/CLBLM_M_CX,INT_R_X3Y144,INT_R,3,144,INT_R_X3Y144/BYP3,CLBLM_R_X3Y144/CLBLM_M_CX,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X6Y26/NE2A2->INT_L_X8Y26/EE2A2,INT_L_X6Y26,INT_L,6,26,INT_L_X6Y26/NE2A2,INT_L_X8Y26/EE2A2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y124/IMUX_L32->CLBLL_L_X4Y124/CLBLL_LL_C1,INT_L_X4Y124,INT_L,4,124,INT_L_X4Y124/IMUX_L32,CLBLL_L_X4Y124/CLBLL_LL_C1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y110/SE6BEG1->INT_L_X6Y106/ER1BEG2,INT_L_X4Y110,INT_L,4,110,INT_L_X4Y110/SE6BEG1,INT_L_X6Y106/ER1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y125/SE2BEG3->INT_R_X5Y124/IMUX14,INT_L_X4Y125,INT_L,4,125,INT_L_X4Y125/SE2BEG3,INT_R_X5Y124/IMUX14,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X19Y94/NE6BEG3->INT_R_X21Y98/LH12,INT_R_X19Y94,INT_R,19,94,INT_R_X19Y94/NE6BEG3,INT_R_X21Y98/LH12,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X0Y123/WW4C3->INT_L_X0Y123/EE2BEG3,INT_L_X0Y123,INT_L,0,123,INT_L_X0Y123/WW4C3,INT_L_X0Y123/EE2BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y94/WW4C3->INT_R_X5Y94/WW4END3,INT_L_X10Y94,INT_L,10,94,INT_L_X10Y94/WW4C3,INT_R_X5Y94/WW4END3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X1Y118/SL1BEG2->INT_L_X2Y117/ER1END3,INT_R_X1Y118,INT_R,1,118,INT_R_X1Y118/SL1BEG2,INT_L_X2Y117/ER1END3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y140/WW4END3->INT_L_X4Y140/NW6BEG3,INT_L_X4Y140,INT_L,4,140,INT_L_X4Y140/WW4END3,INT_L_X4Y140/NW6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLM_R_X7Y15/CLBLM_M_A4->SITEWIRE/SLICE_X8Y15/A1,CLBLM_R_X7Y15,CLBLM_R,7,15,CLBLM_R_X7Y15/CLBLM_M_A4,SITEWIRE/SLICE_X8Y15/A1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X10Y120/LV_L10->INT_L_X10Y128/NW6BEG3,INT_L_X10Y120,INT_L,10,120,INT_L_X10Y120/LV_L10,INT_L_X10Y128/NW6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y130/EL1END1->INT_L_X4Y130/ER1BEG2,INT_L_X4Y130,INT_L,4,130,INT_L_X4Y130/EL1END1,INT_L_X4Y130/ER1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y137/NN2A3->INT_L_X10Y138/BYP_ALT6,INT_L_X10Y137,INT_L,10,137,INT_L_X10Y137/NN2A3,INT_L_X10Y138/BYP_ALT6,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X8Y120/SE2END3->INT_L_X8Y120/EE2BEG3,INT_L_X8Y120,INT_L,8,120,INT_L_X8Y120/SE2END3,INT_L_X8Y120/EE2BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X9Y40/NN2A2->INT_L_X10Y42/NE2END2,INT_R_X9Y40,INT_R,9,40,INT_R_X9Y40/NN2A2,INT_L_X10Y42/NE2END2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y25/BYP1->CLBLM_R_X5Y25/CLBLM_M_AX,INT_R_X5Y25,INT_R,5,25,INT_R_X5Y25/BYP1,CLBLM_R_X5Y25/CLBLM_M_AX,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y124/FAN_ALT2->INT_L_X4Y124/FAN_BOUNCE2,INT_L_X4Y124,INT_L,4,124,INT_L_X4Y124/FAN_ALT2,INT_L_X4Y124/FAN_BOUNCE2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y125/EE4BEG3->INT_L_X8Y125/NR1BEG3,INT_L_X4Y125,INT_L,4,125,INT_L_X4Y125/EE4BEG3,INT_L_X8Y125/NR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y18/WW4C2->INT_L_X2Y17/SW2END1,INT_L_X4Y18,INT_L,4,18,INT_L_X4Y18/WW4C2,INT_L_X2Y17/SW2END1,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y122/SW2END3->INT_L_X4Y121/SE2A3,INT_L_X4Y122,INT_L,4,122,INT_L_X4Y122/SW2END3,INT_L_X4Y121/SE2A3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y17/SW2END1->INT_L_X2Y17/IMUX_L19,INT_L_X2Y17,INT_L,2,17,INT_L_X2Y17/SW2END1,INT_L_X2Y17/IMUX_L19,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLL_L_X2Y15/CLBLL_LL_A4->SITEWIRE/SLICE_X0Y15/A4,CLBLL_L_X2Y15,CLBLL_L,2,15,CLBLL_L_X2Y15/CLBLL_LL_A4,SITEWIRE/SLICE_X0Y15/A4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X6Y30/SW6A2->INT_R_X5Y26/SL1BEG2,INT_L_X6Y30,INT_L,6,30,INT_L_X6Y30/SW6A2,INT_R_X5Y26/SL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y140/NW6BEG3->INT_L_X2Y144/EL1BEG2,INT_L_X4Y140,INT_L,4,140,INT_L_X4Y140/NW6BEG3,INT_L_X2Y144/EL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y110/LH12->INT_L_X10Y120/LV_L10,INT_L_X4Y110,INT_L,4,110,INT_L_X4Y110/LH12,INT_L_X10Y120/LV_L10,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y15/IMUX_L11->CLBLL_L_X2Y15/CLBLL_LL_A4,INT_L_X2Y15,INT_L,2,15,INT_L_X2Y15/IMUX_L11,CLBLL_L_X2Y15/CLBLL_LL_A4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y133/NL1BEG2->INT_L_X2Y134/BYP_ALT5,INT_L_X2Y133,INT_L,2,133,INT_L_X2Y133/NL1BEG2,INT_L_X2Y134/BYP_ALT5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X2Y128/NN6A3->INT_L_X2Y133/EE2BEG3,INT_L_X2Y128,INT_L,2,128,INT_L_X2Y128/NN6A3,INT_L_X2Y133/EE2BEG3,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_R_X5Y25/BYP3->CLBLM_R_X5Y25/CLBLM_M_CX,INT_R_X5Y25,INT_R,5,25,INT_R_X5Y25/BYP3,CLBLM_R_X5Y25/CLBLM_M_CX,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X4Y121/IMUX_L29->CLBLL_L_X4Y121/CLBLL_LL_C2,INT_L_X4Y121,INT_L,4,121,INT_L_X4Y121/IMUX_L29,CLBLL_L_X4Y121/CLBLL_LL_C2,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X8Y102/WL1BEG0->INT_R_X7Y102/IMUX32,INT_L_X8Y102,INT_L,8,102,INT_L_X8Y102/WL1BEG0,INT_R_X7Y102/IMUX32,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
INT_L_X10Y94/WW4C3->INT_R_X9Y92/LVB10,INT_L_X10Y94,INT_L,10,94,INT_L_X10Y94/WW4C3,INT_R_X9Y92/LVB10,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
CLBLM_L_X10Y97/CLBLM_M_A1->SITEWIRE/SLICE_X12Y97/A4,CLBLM_L_X10Y97,CLBLM_L,10,97,CLBLM_L_X10Y97/CLBLM_M_A1,SITEWIRE/SLICE_X12Y97/A4,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
INT_L_X2Y104/IMUX_L31->CLBLL_L_X2Y104/CLBLL_LL_C5,INT_L_X2Y104,INT_L,2,104,INT_L_X2Y104/IMUX_L31,CLBLL_L_X2Y104/CLBLL_LL_C5,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,132.42498665242925,301
DSP_R_X9Y25/DSP_0_B6->SITEWIRE/DSP48_X0Y10/B6,DSP_R_X9Y25,DSP_R,9,25,DSP_R_X9Y25/DSP_0_B6,SITEWIRE/DSP48_X0Y10/B6,i_sca_pqc_adapter.i_sca_pqc.rs1_reg[6],rs1_reg,0,0
