rank,pipname,tile,tile_type,tile_x,tile_y,src_wire,dst_wire,net,avg_delay_ps,max_delay_ps
351,INT_R_X5Y127/IMUX30->CLBLM_R_X5Y127/CLBLM_L_C5,INT_R_X5Y127,INT_R,5,127,INT_R_X5Y127/IMUX30,CLBLM_R_X5Y127/CLBLM_L_C5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
352,INT_L_X2Y135/NL1BEG2->INT_L_X2Y136/IMUX_L11,INT_L_X2Y135,INT_L,2,135,INT_L_X2Y135/NL1BEG2,INT_L_X2Y136/IMUX_L11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
353,INT_L_X34Y118/IMUX_L43->DSP_L_X34Y115/DSP_0_B12,INT_L_X34Y118,INT_L,34,118,INT_L_X34Y118/IMUX_L43,DSP_L_X34Y115/DSP_0_B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
354,CLBLM_L_X20Y93/CLBLM_M_DQ->INT_L_X20Y93/LOGIC_OUTS_L7,CLBLM_L_X20Y93,CLBLM_L,20,93,CLBLM_L_X20Y93/CLBLM_M_DQ,INT_L_X20Y93/LOGIC_OUTS_L7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
355,INT_L_X8Y108/ER1BEG1->INT_R_X9Y108/IMUX43,INT_L_X8Y108,INT_L,8,108,INT_L_X8Y108/ER1BEG1,INT_R_X9Y108/IMUX43,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
356,INT_L_X30Y118/EE4BEG3->INT_L_X34Y118/SL1BEG3,INT_L_X30Y118,INT_L,30,118,INT_L_X30Y118/EE4BEG3,INT_L_X34Y118/SL1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
357,INT_L_X8Y88/SE2A2->INT_R_X9Y87/SS6A2,INT_L_X8Y88,INT_L,8,88,INT_L_X8Y88/SE2A2,INT_R_X9Y87/SS6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
358,INT_L_X16Y118/ER1END3->INT_L_X16Y118/LH12,INT_L_X16Y118,INT_L,16,118,INT_L_X16Y118/ER1END3,INT_L_X16Y118/LH12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
359,DSP_L_X34Y115/DSP_0_B12->SITEWIRE/DSP48_X1Y46/B12,DSP_L_X34Y115,DSP_L,34,115,DSP_L_X34Y115/DSP_0_B12,SITEWIRE/DSP48_X1Y46/B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
360,INT_L_X14Y118/SE2A2->INT_L_X16Y118/ER1END3,INT_L_X14Y118,INT_L,14,118,INT_L_X14Y118/SE2A2,INT_L_X16Y118/ER1END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
361,CLBLL_L_X4Y145/CLBLL_LL_A1->SITEWIRE/SLICE_X4Y145/A1,CLBLL_L_X4Y145,CLBLL_L,4,145,CLBLL_L_X4Y145/CLBLL_LL_A1,SITEWIRE/SLICE_X4Y145/A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
362,INT_L_X10Y119/EE4BEG2->INT_L_X14Y118/SE2A2,INT_L_X10Y119,INT_L,10,119,INT_L_X10Y119/EE4BEG2,INT_L_X14Y118/SE2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
363,INT_R_X9Y117/NR1BEG1->INT_R_X9Y118/NL1BEG0,INT_R_X9Y117,INT_R,9,117,INT_R_X9Y117/NR1BEG1,INT_R_X9Y118/NL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
364,INT_L_X8Y115/NE6BEG2->INT_L_X10Y119/EE4BEG2,INT_L_X8Y115,INT_L,8,115,INT_L_X8Y115/NE6BEG2,INT_L_X10Y119/EE4BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
365,INT_L_X8Y108/SR1BEG_S0->INT_L_X8Y108/ER1BEG1,INT_L_X8Y108,INT_L,8,108,INT_L_X8Y108/SR1BEG_S0,INT_L_X8Y108/ER1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
366,INT_R_X9Y74/SR1BEG1->INT_R_X9Y73/IMUX43,INT_R_X9Y74,INT_R,9,74,INT_R_X9Y74/SR1BEG1,INT_R_X9Y73/IMUX43,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
367,INT_R_X9Y75/SR1END_N3_3->INT_R_X9Y74/SR1BEG_S0,INT_R_X9Y75,INT_R,9,75,INT_R_X9Y75/SR1END_N3_3,INT_R_X9Y74/SR1BEG_S0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
368,INT_L_X8Y110/NN6A2->INT_L_X8Y115/NE6BEG2,INT_L_X8Y110,INT_L,8,110,INT_L_X8Y110/NN6A2,INT_L_X8Y115/NE6BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
369,DSP_L_X34Y80/DSP_0_B12->SITEWIRE/DSP48_X1Y32/B12,DSP_L_X34Y80,DSP_L,34,80,DSP_L_X34Y80/DSP_0_B12,SITEWIRE/DSP48_X1Y32/B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],0,0
370,INT_L_X34Y83/IMUX_L43->DSP_L_X34Y80/DSP_0_B12,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/IMUX_L43,DSP_L_X34Y80/DSP_0_B12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
371,INT_L_X20Y92/SS6A3->INT_L_X20Y87/LH12,INT_L_X20Y92,INT_L,20,92,INT_L_X20Y92/SS6A3,INT_L_X20Y87/LH12,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
372,INT_L_X34Y82/BYP_ALT7->INT_L_X34Y82/BYP_BOUNCE7,INT_L_X34Y82,INT_L,34,82,INT_L_X34Y82/BYP_ALT7,INT_L_X34Y82/BYP_BOUNCE7,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
373,INT_L_X8Y125/WL1BEG1->INT_R_X7Y125/IMUX3,INT_L_X8Y125,INT_L,8,125,INT_L_X8Y125/WL1BEG1,INT_R_X7Y125/IMUX3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
374,INT_R_X5Y127/WW2END2->INT_R_X5Y127/IMUX30,INT_R_X5Y127,INT_R,5,127,INT_R_X5Y127/WW2END2,INT_R_X5Y127/IMUX30,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
375,INT_L_X20Y87/LH12->INT_L_X32Y87/SE6BEG3,INT_L_X20Y87,INT_L,20,87,INT_L_X20Y87/LH12,INT_L_X32Y87/SE6BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
376,INT_L_X20Y93/LOGIC_OUTS_L7->INT_L_X20Y92/SS6A3,INT_L_X20Y93,INT_L,20,93,INT_L_X20Y93/LOGIC_OUTS_L7,INT_L_X20Y92/SS6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
377,INT_L_X10Y93/WW4END3->INT_L_X10Y93/SW6BEG2,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/WW4END3,INT_L_X10Y93/SW6BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
378,INT_R_X9Y74/SR1BEG_S0->INT_R_X9Y74/SR1BEG1,INT_R_X9Y74,INT_R,9,74,INT_R_X9Y74/SR1BEG_S0,INT_R_X9Y74/SR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
379,INT_R_X9Y76/SL1BEG2->INT_R_X9Y75/SR1END_N3_3,INT_R_X9Y76,INT_R,9,76,INT_R_X9Y76/SL1BEG2,INT_R_X9Y75/SR1END_N3_3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
380,INT_L_X20Y93/LOGIC_OUTS_L7->INT_L_X10Y93/WW4END3,INT_L_X20Y93,INT_L,20,93,INT_L_X20Y93/LOGIC_OUTS_L7,INT_L_X10Y93/WW4END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
381,INT_R_X9Y87/SS6A2->INT_R_X9Y81/SS6A2,INT_R_X9Y87,INT_R,9,87,INT_R_X9Y87/SS6A2,INT_R_X9Y81/SS6A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
382,INT_R_X9Y81/SS6A2->INT_R_X9Y76/SL1BEG2,INT_R_X9Y81,INT_R,9,81,INT_R_X9Y81/SS6A2,INT_R_X9Y76/SL1BEG2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
383,INT_L_X10Y93/SW6BEG2->INT_L_X8Y88/SE2A2,INT_L_X10Y93,INT_L,10,93,INT_L_X10Y93/SW6BEG2,INT_L_X8Y88/SE2A2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[12],132.42498665242925,301
384,INT_R_X5Y125/IMUX16->CLBLM_R_X5Y125/CLBLM_L_B3,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/IMUX16,CLBLM_R_X5Y125/CLBLM_L_B3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
385,INT_R_X5Y125/NN2END0->INT_R_X5Y125/IMUX40,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/NN2END0,INT_R_X5Y125/IMUX40,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
386,INT_R_X5Y125/IMUX40->CLBLM_R_X5Y125/CLBLM_M_D1,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/IMUX40,CLBLM_R_X5Y125/CLBLM_M_D1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
387,INT_R_X3Y137/SL1BEG3->INT_L_X2Y135/SW2END3,INT_R_X3Y137,INT_R,3,137,INT_R_X3Y137/SL1BEG3,INT_L_X2Y135/SW2END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
388,INT_L_X2Y135/IMUX_L38->CLBLL_L_X2Y135/CLBLL_LL_D3,INT_L_X2Y135,INT_L,2,135,INT_L_X2Y135/IMUX_L38,CLBLL_L_X2Y135/CLBLL_LL_D3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
389,INT_L_X2Y135/SW2END3->INT_L_X2Y135/IMUX_L38,INT_L_X2Y135,INT_L,2,135,INT_L_X2Y135/SW2END3,INT_L_X2Y135/IMUX_L38,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
390,CLBLL_L_X2Y135/CLBLL_LL_D3->SITEWIRE/SLICE_X0Y135/D1,CLBLL_L_X2Y135,CLBLL_L,2,135,CLBLL_L_X2Y135/CLBLL_LL_D3,SITEWIRE/SLICE_X0Y135/D1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
391,INT_R_X3Y136/IMUX46->CLBLM_R_X3Y136/CLBLM_L_D5,INT_R_X3Y136,INT_R,3,136,INT_R_X3Y136/IMUX46,CLBLM_R_X3Y136/CLBLM_L_D5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
392,CLBLM_R_X5Y125/CLBLM_M_D1->SITEWIRE/SLICE_X6Y125/D3,CLBLM_R_X5Y125,CLBLM_R,5,125,CLBLM_R_X5Y125/CLBLM_M_D1,SITEWIRE/SLICE_X6Y125/D3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
393,INT_R_X3Y137/LV10->INT_R_X3Y144/SS6A3,INT_R_X3Y137,INT_R,3,137,INT_R_X3Y137/LV10,INT_R_X3Y144/SS6A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
394,INT_R_X3Y144/SS6A3->INT_R_X3Y139/NR1BEG3,INT_R_X3Y144,INT_R,3,144,INT_R_X3Y144/SS6A3,INT_R_X3Y139/NR1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
395,INT_R_X3Y139/NR1BEG3->INT_R_X3Y140/IMUX14,INT_R_X3Y139,INT_R,3,139,INT_R_X3Y139/NR1BEG3,INT_R_X3Y140/IMUX14,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
396,INT_R_X3Y137/SL1BEG3->INT_R_X3Y136/IMUX46,INT_R_X3Y137,INT_R,3,137,INT_R_X3Y137/SL1BEG3,INT_R_X3Y136/IMUX46,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
397,INT_L_X4Y123/NW6A0->INT_R_X3Y137/LV10,INT_L_X4Y123,INT_L,4,123,INT_L_X4Y123/NW6A0,INT_R_X3Y137/LV10,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
398,INT_R_X3Y137/LV10->INT_L_X4Y145/EE4A3,INT_R_X3Y137,INT_R,3,137,INT_R_X3Y137/LV10,INT_L_X4Y145/EE4A3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
399,INT_L_X4Y145/EE4A3->INT_L_X6Y146/WR1END0,INT_L_X4Y145,INT_L,4,145,INT_L_X4Y145/EE4A3,INT_L_X6Y146/WR1END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
400,INT_L_X4Y144/WL1END2->INT_L_X4Y144/IMUX_L44,INT_L_X4Y144,INT_L,4,144,INT_L_X4Y144/WL1END2,INT_L_X4Y144/IMUX_L44,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
401,INT_L_X4Y144/IMUX_L44->CLBLL_L_X4Y144/CLBLL_LL_D4,INT_L_X4Y144,INT_L,4,144,INT_L_X4Y144/IMUX_L44,CLBLL_L_X4Y144/CLBLL_LL_D4,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
402,INT_R_X5Y144/SW2END3->INT_L_X4Y144/WL1END2,INT_R_X5Y144,INT_R,5,144,INT_R_X5Y144/SW2END3,INT_L_X4Y144/WL1END2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
403,INT_R_X9Y110/SS2A0->INT_R_X9Y108/SS6A0,INT_R_X9Y110,INT_R,9,110,INT_R_X9Y110/SS2A0,INT_R_X9Y108/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
404,INT_R_X9Y108/SS6A0->INT_R_X9Y102/SS6A0,INT_R_X9Y108,INT_R,9,108,INT_R_X9Y108/SS6A0,INT_R_X9Y102/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
405,INT_R_X9Y96/SS6A0->INT_R_X9Y90/SS6A0,INT_R_X9Y96,INT_R,9,96,INT_R_X9Y96/SS6A0,INT_R_X9Y90/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
406,INT_R_X9Y90/SS6A0->INT_R_X9Y84/SS6A0,INT_R_X9Y90,INT_R,9,90,INT_R_X9Y90/SS6A0,INT_R_X9Y84/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
407,INT_R_X5Y123/EE4BEG0->INT_R_X9Y122/SS6A0,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/EE4BEG0,INT_R_X9Y122/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
408,INT_L_X34Y117/IMUX_L16->DSP_L_X34Y115/DSP_0_B11,INT_L_X34Y117,INT_L,34,117,INT_L_X34Y117/IMUX_L16,DSP_L_X34Y115/DSP_0_B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
409,INT_R_X9Y107/FAN_BOUNCE2->INT_R_X9Y107/IMUX16,INT_R_X9Y107,INT_R,9,107,INT_R_X9Y107/FAN_BOUNCE2,INT_R_X9Y107/IMUX16,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
410,INT_R_X33Y115/SE6BEG0->INT_R_X35Y111/SL1BEG0,INT_R_X33Y115,INT_R,33,115,INT_R_X33Y115/SE6BEG0,INT_R_X35Y111/SL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
411,INT_R_X3Y138/SS2A3->INT_R_X3Y137/SL1BEG3,INT_R_X3Y138,INT_R,3,138,INT_R_X3Y138/SS2A3,INT_R_X3Y137/SL1BEG3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
412,INT_R_X9Y108/SS2A0->INT_R_X9Y107/FAN_ALT2,INT_R_X9Y108,INT_R,9,108,INT_R_X9Y108/SS2A0,INT_R_X9Y107/FAN_ALT2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
413,INT_R_X5Y125/NN2END0->INT_R_X5Y125/EE4BEG0,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/NN2END0,INT_R_X5Y125/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
414,INT_R_X5Y123/SE6BEG0->INT_L_X6Y118/SW2END0,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/SE6BEG0,INT_L_X6Y118/SW2END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
415,INT_L_X6Y118/SR1BEG1->INT_L_X6Y116/SE2A1,INT_L_X6Y118,INT_L,6,118,INT_L_X6Y118/SR1BEG1,INT_L_X6Y116/SE2A1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
416,INT_L_X14Y115/EE4A0->INT_R_X17Y115/EE4BEG0,INT_L_X14Y115,INT_L,14,115,INT_L_X14Y115/EE4A0,INT_R_X17Y115/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
417,INT_R_X5Y123/LOGIC_OUTS0->INT_R_X5Y123/SE6BEG0,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/LOGIC_OUTS0,INT_R_X5Y123/SE6BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
418,INT_R_X9Y107/IMUX16->DSP_R_X9Y105/DSP_0_B11,INT_R_X9Y107,INT_R,9,107,INT_R_X9Y107/IMUX16,DSP_R_X9Y105/DSP_0_B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
419,CLBLM_R_X11Y126/CLBLM_M_A5->SITEWIRE/SLICE_X14Y126/A5,CLBLM_R_X11Y126,CLBLM_R,11,126,CLBLM_R_X11Y126/CLBLM_M_A5,SITEWIRE/SLICE_X14Y126/A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
420,INT_L_X10Y125/EE2A0->INT_R_X11Y125/NR1BEG0,INT_L_X10Y125,INT_L,10,125,INT_L_X10Y125/EE2A0,INT_R_X11Y125/NR1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
421,INT_L_X34Y96/SS6A0->INT_L_X34Y90/SS6A0,INT_L_X34Y96,INT_L,34,96,INT_L_X34Y96/SS6A0,INT_L_X34Y90/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
422,DSP_R_X9Y70/DSP_0_B11->SITEWIRE/DSP48_X0Y28/B11,DSP_R_X9Y70,DSP_R,9,70,DSP_R_X9Y70/DSP_0_B11,SITEWIRE/DSP48_X0Y28/B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
423,INT_L_X8Y117/NE2A0->INT_R_X9Y117/IMUX17,INT_L_X8Y117,INT_L,8,117,INT_L_X8Y117/NE2A0,INT_R_X9Y117/IMUX17,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
424,CLBLM_R_X5Y125/CLBLM_L_B3->SITEWIRE/SLICE_X7Y125/B2,CLBLM_R_X5Y125,CLBLM_R,5,125,CLBLM_R_X5Y125/CLBLM_L_B3,SITEWIRE/SLICE_X7Y125/B2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
425,INT_R_X11Y126/IMUX8->CLBLM_R_X11Y126/CLBLM_M_A5,INT_R_X11Y126,INT_R,11,126,INT_R_X11Y126/IMUX8,CLBLM_R_X11Y126/CLBLM_M_A5,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
426,INT_R_X9Y102/SS6A0->INT_R_X9Y96/SS6A0,INT_R_X9Y102,INT_R,9,102,INT_R_X9Y102/SS6A0,INT_R_X9Y96/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
427,INT_R_X9Y78/SS6A0->INT_R_X9Y73/SL1BEG0,INT_R_X9Y78,INT_R,9,78,INT_R_X9Y78/SS6A0,INT_R_X9Y73/SL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
428,INT_R_X5Y123/LOGIC_OUTS0->INT_L_X4Y123/NW6A0,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/LOGIC_OUTS0,INT_L_X4Y123/NW6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
429,INT_R_X9Y117/IMUX17->DSP_R_X9Y115/DSP_0_A11,INT_R_X9Y117,INT_R,9,117,INT_R_X9Y117/IMUX17,DSP_R_X9Y115/DSP_0_A11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
430,INT_L_X8Y116/EL1END0->INT_L_X8Y117/NE2A0,INT_L_X8Y116,INT_L,8,116,INT_L_X8Y116/EL1END0,INT_L_X8Y117/NE2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
431,INT_R_X9Y122/SS6A0->INT_R_X9Y116/SS6A0,INT_R_X9Y122,INT_R,9,122,INT_R_X9Y122/SS6A0,INT_R_X9Y116/SS6A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
432,INT_R_X5Y123/LOGIC_OUTS0->INT_R_X5Y125/NN2END0,INT_R_X5Y123,INT_R,5,123,INT_R_X5Y123/LOGIC_OUTS0,INT_R_X5Y125/NN2END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
433,DSP_R_X9Y115/DSP_0_A11->SITEWIRE/DSP48_X0Y46/A11,DSP_R_X9Y115,DSP_R,9,115,DSP_R_X9Y115/DSP_0_A11,SITEWIRE/DSP48_X0Y46/A11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
434,INT_L_X6Y116/SE2A1->INT_L_X8Y116/EL1END0,INT_L_X6Y116,INT_L,6,116,INT_L_X6Y116/SE2A1,INT_L_X8Y116/EL1END0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
435,INT_L_X6Y146/WR1END0->INT_R_X5Y144/SW2END3,INT_L_X6Y146,INT_L,6,146,INT_L_X6Y146/WR1END0,INT_R_X5Y144/SW2END3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
436,INT_R_X5Y125/EE4BEG0->INT_L_X10Y125/EE2A0,INT_R_X5Y125,INT_R,5,125,INT_R_X5Y125/EE4BEG0,INT_L_X10Y125/EE2A0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
437,INT_R_X9Y72/IMUX16->DSP_R_X9Y70/DSP_0_B11,INT_R_X9Y72,INT_R,9,72,INT_R_X9Y72/IMUX16,DSP_R_X9Y70/DSP_0_B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
438,INT_L_X6Y118/SW2END0->INT_L_X6Y118/SR1BEG1,INT_L_X6Y118,INT_L,6,118,INT_L_X6Y118/SW2END0,INT_L_X6Y118/SR1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
439,INT_R_X9Y107/FAN_ALT2->INT_R_X9Y107/FAN_BOUNCE2,INT_R_X9Y107,INT_R,9,107,INT_R_X9Y107/FAN_ALT2,INT_R_X9Y107/FAN_BOUNCE2,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
440,INT_R_X31Y115/EE2BEG0->INT_R_X33Y115/ER1BEG1,INT_R_X31Y115,INT_R,31,115,INT_R_X31Y115/EE2BEG0,INT_R_X33Y115/ER1BEG1,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
441,DSP_L_X34Y115/DSP_0_B11->SITEWIRE/DSP48_X1Y46/B11,DSP_L_X34Y115,DSP_L,34,115,DSP_L_X34Y115/DSP_0_B11,SITEWIRE/DSP48_X1Y46/B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
442,CLBLM_R_X3Y136/CLBLM_L_D5->SITEWIRE/SLICE_X3Y136/D3,CLBLM_R_X3Y136,CLBLM_R,3,136,CLBLM_R_X3Y136/CLBLM_L_D5,SITEWIRE/SLICE_X3Y136/D3,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
443,INT_R_X11Y125/NR1BEG0->INT_R_X11Y126/IMUX8,INT_R_X11Y125,INT_R,11,125,INT_R_X11Y125/NR1BEG0,INT_R_X11Y126/IMUX8,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
444,INT_L_X34Y116/NL1BEG0->INT_L_X34Y117/IMUX_L16,INT_L_X34Y116,INT_L,34,116,INT_L_X34Y116/NL1BEG0,INT_L_X34Y117/IMUX_L16,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
445,DSP_R_X9Y105/DSP_0_B11->SITEWIRE/DSP48_X0Y42/B11,DSP_R_X9Y105,DSP_R,9,105,DSP_R_X9Y105/DSP_0_B11,SITEWIRE/DSP48_X0Y42/B11,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
446,INT_L_X34Y84/SS2A0->INT_L_X34Y83/SL1BEG0,INT_L_X34Y84,INT_L,34,84,INT_L_X34Y84/SS2A0,INT_L_X34Y83/SL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
447,CLBLM_R_X5Y123/CLBLM_L_AQ->INT_R_X5Y123/LOGIC_OUTS0,CLBLM_R_X5Y123,CLBLM_R,5,123,CLBLM_R_X5Y123/CLBLM_L_AQ,INT_R_X5Y123/LOGIC_OUTS0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],0,0
448,INT_L_X34Y115/NR1BEG1->INT_L_X34Y116/NL1BEG0,INT_L_X34Y115,INT_L,34,115,INT_L_X34Y115/NR1BEG1,INT_L_X34Y116/NL1BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
449,INT_R_X17Y115/EE4BEG0->INT_R_X21Y115/EE4BEG0,INT_R_X17Y115,INT_R,17,115,INT_R_X17Y115/EE4BEG0,INT_R_X21Y115/EE4BEG0,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
450,INT_L_X34Y83/SL1BEG0->INT_L_X34Y82/IMUX_L16,INT_L_X34Y83,INT_L,34,83,INT_L_X34Y83/SL1BEG0,INT_L_X34Y82/IMUX_L16,i_sca_pqc_adapter.i_sca_pqc.rs2_reg[11],132.42498665242925,301
